!!SBtab TableName='Parameter' TableType='Quantity' Document='E. coli central carbon metabolism - unbalanced kinetic data' SBtabVersion='1.0'						
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Std
substrate catalytic rate constant	FUM_R01082		409.59643	1/s	R01082		nan
substrate catalytic rate constant	MDH_R00342		1034.7807	1/s	R00342		nan
substrate catalytic rate constant	PPC_R00345		270	1/s	R00345		nan
product catalytic rate constant	PTS_RPTSsy		nan	1/s	RPTSsy		nan
product catalytic rate constant	PGI_R02740		nan	1/s	R02740		nan
product catalytic rate constant	PFK_R04779		nan	1/s	R04779		nan
product catalytic rate constant	ALD_R01070		nan	1/s	R01070		nan
product catalytic rate constant	TIM_R01015		250	1/s	R01015		nan
product catalytic rate constant	GAP_R01061		221	1/s	R01061		nan
product catalytic rate constant	PGK_R01512		833	1/s	R01512		nan
product catalytic rate constant	PGM_R01518		26.124843	1/s	R01518		nan
product catalytic rate constant	PGH_R00658		nan	1/s	R00658		nan
product catalytic rate constant	PYK_R00200		nan	1/s	R00200		nan
product catalytic rate constant	PDH_R00209		77	1/s	R00209		nan
product catalytic rate constant	ZWF_R00835		571	1/s	R00835		nan
product catalytic rate constant	GLH_R02035		nan	1/s	R02035		nan
product catalytic rate constant	PGD_R01528		98	1/s	R01528		nan
product catalytic rate constant	RPI_R01056		906.06764	1/s	R01056		nan
product catalytic rate constant	RPE_R01529		182.45258	1/s	R01529		nan
product catalytic rate constant	TXT_R01641		nan	1/s	R01641		nan
product catalytic rate constant	TAL_R08575		nan	1/s	R08575		nan
product catalytic rate constant	TXT_R01067		nan	1/s	R01067		nan
product catalytic rate constant	FBP_R00762		23.4	1/s	R00762		nan
product catalytic rate constant	CSN_R00351		119.32901	1/s	R00351		nan
product catalytic rate constant	ACN_R01325		nan	1/s	R01325		nan
product catalytic rate constant	ACN_R01900		nan	1/s	R01900		nan
product catalytic rate constant	ICD_R00709		30	1/s	R00709		nan
product catalytic rate constant	KGD_R08549		nan	1/s	R08549		nan
product catalytic rate constant	SCS_R00405		45.344239	1/s	R00405		nan
product catalytic rate constant	SDH_R02164		79.556898	1/s	R02164		nan
product catalytic rate constant	FUM_R01082		115.24806	1/s	R01082		nan
product catalytic rate constant	MDH_R00342		227.92729	1/s	R00342		nan
product catalytic rate constant	PPC_R00345		nan	1/s	R00345		nan
